"Region, subregion, country or area *",Country code,Parent code,1950-1955 pop,2015-2020 pop
Burundi,108,910,2 403,11 012
Comoros,174,910,166,823
Djibouti,262,910,65,951
Eritrea,232,910,851,3 438
Ethiopia,231,910,18 832,107 851
Kenya,404,910,6 424,50 815
Madagascar,450,910,4 260,25 937
Malawi,454,910,3 075,17 920
Mauritius,480,910,522,1 266
Mayotte,175,910,17,256
Mozambique,508,910,6 170,29 106
Réunion,638,910,267,879
Rwanda,646,910,2 316,12 150
Seychelles,690,910,37,97
Somalia,706,910,2 353,14 819
South Sudan,728,910,2 529,10 948
Uganda,800,910,5 451,41 963
United Republic of Tanzania,834,910,8 061,55 541
Zambia,894,910,2 436,17 116
Zimbabwe,716,910,2 926,14 338
Middle Africa,911,947,27 460,166 722
Angola,24,911,4 727,30 341
Cameroon,120,911,4 464,24 905
Central African Republic,140,911,1 356,4 645
Chad,148,911,2 591,15 257
Congo,178,911,859,5 182
Democratic Republic of the Congo,180,911,12 692,82 809
Equatorial Guinea,226,911,233,1 286
Gabon,266,911,478,2 090
Sao Tome and Principe,678,911,59,209
Southern Africa,913,947,16 221,65 268
Botswana,72,913,434,2 233
Eswatini,748,913,285,1 131
Lesotho,426,913,729,2 100
Namibia,516,913,535,2 427
South Africa,710,913,14 237,57 377
Western Africa,914,947,73 233,376 451
Benin,204,914,2 268,11 339
Burkina Faso,854,914,4 370,19 488
Cabo Verde,132,914,189,541
Côte d'Ivoire,384,914,2 768,24 775
Gambia,270,914,314,2 249
Ghana,288,914,5 285,29 452
Guinea,324,914,3 097,12 259
Guinea-Bissau,624,914,552,1 852
Liberia,430,914,960,4 763
Mali,466,914,4 813,18 817
Mauritania,478,914,684,4 345
Niger,562,914,2 717,22 059
Nigeria,566,914,39 075,193 491
Saint Helena,654,914,5,6
Senegal,686,914,2 609,15 648
Sierra Leone,694,914,2 089,7 572
Togo,768,914,1 435,7 797
NORTHERN AFRICA AND WESTERN ASIA,1833,1828,105 287,503 815
Northern Africa,912,1833,51 248,235 045
Algeria,12,912,9 201,41 800
Egypt,818,912,21 503,97 413
Libya,434,912,1 167,6 636
Morocco,504,912,9 552,35 797
Sudan,729,912,6 047,41 338
Tunisia,788,912,3 761,11 499
Western Sahara,732,912,17,561
Western Asia,922,1833,54 038,268 770
Armenia,51,922,1 425,2 947
Azerbaijan,31,922,3 070,9 890
Bahrain,48,922,121,1 534
Cyprus,196,922,507,1 184
Georgia,268,922,3 593,4 006
Iraq,368,922,6 052,37 950
Israel,376,922,1 435,8 315
Jordan,400,922,570,9 813
Kuwait,414,922,163,4 077
Lebanon,422,922,1 400,6 768
Oman,512,922,470,4 721
Qatar,634,922,30,2 740
Saudi Arabia,682,922,3 288,33 341
