country_code,fert_1950_1955,fert_2015_2020,mort_1950_1955,mort_2015_2020,country_name,parent_code,pop_1950_1955,pop_2015_2020
231,7.17,4.3,333,55,Ethiopia,Africa,18832,107851
404,7.48,3.52,248,47,Kenya,Africa,6424,50815
508,6.34,4.89,319,73,Mozambique,Africa,6170,29106
834,6.74,4.92,264,57,United Republic of Tanzania,Africa,8061,55541
180,5.98,5.96,281,100,Democratic Republic of the Congo,Africa,12692,82809
710,6.05,2.41,228,35,South Africa,Africa,14237,57377
566,6.35,5.42,335,102,Nigeria,Africa,39075,193491
12,7.28,3.05,278,25,Algeria,Africa,9201,41800
818,6.75,3.33,387,20,Egypt,Africa,21503,97413
504,6.61,2.42,252,23,Morocco,Africa,9552,35797
729,6.65,4.43,227,64,Sudan,Africa,6047,41338
368,7.3,3.68,327,28,Iraq,Asia,6052,37950
792,6.69,2.08,292,13,Turkey,Asia,22524,81597
398,4.41,2.76,144,10,Kazakhstan,Asia,7075,18188
860,5.3,2.43,156,26,Uzbekistan,Asia,6667,32210
4,7.45,4.56,405,68,Afghanistan,Asia,7944,36706
50,6.36,2.05,315,32,Bangladesh,Asia,39507,160505
356,5.9,2.24,271,39,India,Asia,389125,1345402
364,6.91,2.15,298,15,Iran (Islamic Republic of),Asia,17952,81240
524,5.96,1.93,334,34,Nepal,Asia,8828,27959
586,6.6,3.55,341,75,Pakistan,Asia,38586,210108
144,5.8,2.21,144,9,Sri Lanka,Asia,8269,21170
156,6.11,1.69,205,12,China,China,580665,1423779
158,6.72,1.15,110,5,"China, Taiwan Province of China",Asia,8245,23695
408,3.46,1.91,200,18,Dem. People's Republic of Korea,Asia,10155,25486
392,2.96,1.37,72,2,Japan,Asia,85526,127298
410,5.65,1.11,251,3,Republic of Korea,Asia,19928,51095
360,5.49,2.32,276,25,Indonesia,Asia,72395,266068
458,6.35,2.01,144,7,Malaysia,Asia,6461,31317
104,6.0,2.17,317,48,Myanmar,Asia,18456,53545
608,7.42,2.58,137,28,Philippines,Asia,19971,105883
764,6.14,1.53,189,9,Thailand,Asia,21862,69292
704,5.4,2.06,158,21,Viet Nam,Asia,26034,95044
192,4.15,1.62,113,6,Cuba,America,6175,11333
484,6.75,2.14,193,16,Mexico,America,29628,125445
32,3.15,2.27,84,12,Argentina,America,17742,44143
76,6.1,1.74,190,15,Brazil,America,57323,208591
152,4.85,1.65,159,8,Chile,America,6876,18574
170,6.51,1.82,167,15,Colombia,America,12656,49248
604,6.95,2.27,267,16,Peru,America,8193,31719
36,3.18,1.83,30,4,Australia,Oceania,8585,24730
203,2.74,1.64,50,3,Czechia,Europe,9103,10654
616,3.63,1.42,92,4,Poland,Europe,25779,37939
642,3.06,1.62,113,8,Romania,Europe,16753,19581
643,2.85,1.82,142,7,Russian Federation,Europe,106067,145555
804,2.81,1.44,113,9,Ukraine,Europe,38372,44349
826,2.18,1.75,33,4,United Kingdom,Europe,50702,66907
300,2.48,1.3,58,3,Greece,Europe,7811,10544
380,2.36,1.33,73,3,Italy,Europe,47358,60592
620,3.1,1.29,135,3,Portugal,Europe,8471,10277
724,2.53,1.33,82,3,Spain,Europe,28421,46690
56,2.37,1.71,51,3,Belgium,Europe,8732,11446
250,2.76,1.85,52,4,France,Europe,42372,64893
276,2.13,1.59,55,4,Germany,Europe,70610,82844
528,3.05,1.66,30,3,Netherlands,Europe,10302,17039
124,3.65,1.53,44,5,Canada,America,14468,36895
840,3.31,1.78,35,7,United States of America,US,163518,326024
